iter	Passed	Remaining
0	145	144944
1	146	73050
2	147	49119
3	149	37207
4	151	30105
5	153	25358
6	155	22042
7	157	19478
8	158	17431
9	159	15781
10	160	14421
11	161	13297
12	162	12337
13	163	11527
14	164	10829
15	166	10235
16	167	9700
17	169	9224
18	170	8803
19	172	8431
20	172	8063
21	173	7732
22	174	7432
23	175	7154
24	177	6916
25	178	6683
26	179	6472
27	180	6281
28	182	6100
29	183	5927
30	184	5760
31	185	5605
32	186	5459
33	187	5331
34	188	5208
35	190	5092
36	191	4984
37	193	4890
38	194	4787
39	195	4692
40	196	4597
41	197	4512
42	198	4426
43	200	4346
44	201	4267
45	202	4199
46	203	4127
47	204	4058
48	205	3995
49	207	3933
50	208	3877
51	209	3819
52	210	3764
53	211	3713
54	213	3663
55	214	3618
56	215	3571
57	217	3530
58	218	3488
59	219	3445
60	221	3404
61	222	3369
62	223	3331
63	225	3296
64	226	3265
65	228	3232
66	229	3199
67	230	3158
68	231	3127
69	233	3101
70	234	3072
71	236	3043
72	237	3015
73	239	2991
74	240	2971
75	242	2945
76	243	2922
77	245	2901
78	247	2880
79	248	2859
80	250	2837
81	251	2816
82	253	2800
83	254	2780
84	256	2758
85	258	2743
86	259	2719
87	260	2703
88	262	2686
89	264	2672
90	266	2657
91	267	2643
92	269	2630
93	271	2616
94	272	2599
95	274	2587
96	276	2574
97	278	2561
98	280	2551
99	282	2540
100	284	2529
101	285	2512
102	287	2502
103	289	2490
104	291	2485
105	293	2474
106	295	2464
107	297	2455
108	299	2445
109	301	2436
110	303	2428
111	305	2423
112	307	2415
113	310	2412
114	312	2404
115	314	2396
116	316	2389
117	319	2389
118	322	2384
119	324	2380
120	328	2383
121	330	2380
122	332	2369
123	335	2368
124	338	2366
125	341	2366
126	344	2364
127	346	2358
128	348	2355
129	351	2352
130	354	2354
131	357	2351
132	360	2348
133	363	2351
134	366	2349
135	369	2348
136	372	2348
137	375	2345
138	378	2345
139	381	2344
140	384	2342
141	387	2341
142	390	2338
143	393	2336
144	395	2334
145	397	2328
146	399	2320
147	402	2317
148	406	2319
149	408	2314
150	410	2310
151	413	2304
152	415	2299
153	417	2295
154	420	2290
155	422	2286
156	424	2280
157	427	2277
158	430	2275
159	432	2270
160	434	2265
161	436	2259
162	438	2253
163	441	2252
164	444	2250
165	447	2246
166	449	2241
167	451	2237
168	454	2232
169	456	2228
170	458	2224
171	461	2220
172	463	2217
173	466	2214
174	469	2214
175	472	2212
176	475	2211
177	479	2214
178	482	2213
179	485	2210
180	486	2202
181	489	2201
182	492	2198
183	495	2197
184	498	2196
185	501	2194
186	504	2193
187	507	2191
188	510	2189
189	512	2185
190	515	2183
191	518	2182
192	521	2181
193	525	2181
194	528	2180
195	531	2178
196	534	2178
197	537	2176
198	540	2176
199	543	2173
200	546	2172
201	548	2168
202	551	2164
203	553	2161
204	556	2158
205	559	2155
206	562	2155
207	565	2152
208	567	2147
209	570	2146
210	573	2143
211	576	2140
212	578	2138
213	581	2136
214	584	2134
215	587	2131
216	590	2131
217	593	2129
218	596	2128
219	599	2125
220	602	2125
221	605	2123
222	608	2120
223	611	2117
224	614	2115
225	617	2113
226	619	2111
227	622	2109
228	625	2107
229	629	2107
230	632	2104
231	635	2102
232	637	2099
233	640	2097
234	643	2094
235	646	2091
236	648	2088
237	651	2084
238	654	2083
239	656	2079
240	659	2076
241	662	2073
242	664	2070
243	667	2069
244	670	2067
245	673	2065
246	676	2063
247	680	2064
248	684	2063
249	686	2060
250	689	2058
251	692	2055
252	695	2053
253	698	2051
254	701	2049
255	704	2047
256	707	2046
257	710	2043
258	713	2042
259	716	2039
260	718	2035
261	721	2032
262	724	2030
263	726	2026
264	729	2023
265	732	2019
266	734	2016
267	737	2013
268	739	2009
269	742	2006
270	745	2004
271	748	2002
272	750	1999
273	753	1996
274	757	1995
275	759	1992
276	762	1989
277	764	1985
278	767	1983
279	770	1981
280	773	1979
281	776	1976
282	778	1973
283	781	1970
284	784	1967
285	787	1965
286	789	1962
287	792	1959
288	795	1957
289	798	1954
290	801	1953
291	804	1951
292	807	1948
293	810	1945
294	813	1943
295	815	1940
296	818	1937
297	821	1934
298	823	1931
299	826	1929
300	829	1926
301	832	1923
302	835	1921
303	837	1918
304	840	1915
305	843	1912
306	845	1909
307	848	1907
308	852	1905
309	855	1903
310	858	1900
311	860	1897
312	863	1895
313	866	1893
314	869	1891
315	872	1889
316	875	1885
317	877	1882
318	880	1879
319	883	1876
320	885	1873
321	888	1870
322	891	1868
323	894	1866
324	897	1863
325	900	1861
326	903	1858
327	905	1855
328	908	1853
329	911	1850
330	914	1848
331	917	1845
332	920	1843
333	923	1840
334	926	1838
335	928	1835
336	931	1832
337	934	1829
338	936	1826
339	939	1824
340	942	1821
341	945	1819
342	948	1817
343	951	1814
344	954	1811
345	957	1809
346	960	1807
347	963	1804
348	965	1801
349	968	1798
350	971	1796
351	974	1793
352	977	1791
353	980	1788
354	983	1786
355	985	1783
356	989	1781
357	992	1779
358	995	1777
359	998	1774
360	1001	1772
361	1004	1769
362	1007	1767
363	1010	1764
364	1012	1762
365	1015	1759
366	1018	1757
367	1021	1754
368	1024	1751
369	1027	1749
370	1030	1747
371	1033	1744
372	1035	1741
373	1039	1739
374	1042	1737
375	1045	1734
376	1048	1732
377	1052	1731
378	1054	1728
379	1057	1725
380	1060	1723
381	1063	1720
382	1066	1718
383	1069	1715
384	1072	1712
385	1075	1711
386	1078	1708
387	1081	1705
388	1084	1703
389	1087	1700
390	1090	1698
391	1093	1696
392	1097	1694
393	1100	1692
394	1103	1690
395	1106	1687
396	1109	1684
397	1112	1682
398	1114	1679
399	1118	1677
400	1121	1675
401	1125	1674
402	1128	1672
403	1133	1671
404	1136	1669
405	1139	1666
406	1142	1664
407	1145	1662
408	1148	1659
409	1152	1657
410	1156	1656
411	1159	1654
412	1163	1653
413	1166	1651
414	1170	1649
415	1173	1648
416	1177	1646
417	1180	1643
418	1184	1642
419	1188	1641
420	1191	1638
421	1195	1637
422	1199	1635
423	1202	1633
424	1206	1631
425	1210	1631
426	1215	1631
427	1219	1629
428	1223	1628
429	1228	1628
430	1231	1626
431	1236	1626
432	1240	1625
433	1244	1623
434	1248	1621
435	1251	1618
436	1255	1616
437	1258	1615
438	1261	1612
439	1264	1609
440	1267	1606
441	1270	1604
442	1274	1602
443	1288	1612
444	1330	1659
445	1334	1657
446	1348	1667
447	1351	1665
448	1355	1663
449	1358	1660
450	1362	1658
451	1365	1655
452	1369	1653
453	1374	1653
454	1378	1650
455	1383	1649
456	1386	1647
457	1389	1644
458	1393	1642
459	1397	1640
460	1401	1638
461	1404	1635
462	1407	1632
463	1411	1630
464	1414	1627
465	1417	1624
466	1421	1622
467	1424	1618
468	1426	1615
469	1429	1612
470	1432	1609
471	1435	1606
472	1438	1603
473	1441	1599
474	1443	1595
475	1446	1592
476	1448	1588
477	1451	1584
478	1453	1580
479	1456	1577
480	1459	1574
481	1461	1570
482	1463	1566
483	1466	1562
484	1468	1559
485	1471	1556
486	1473	1552
487	1475	1548
488	1478	1544
489	1480	1540
490	1483	1537
491	1485	1534
492	1488	1530
493	1491	1527
494	1493	1523
495	1496	1520
496	1498	1516
497	1501	1513
498	1503	1509
499	1505	1505
500	1508	1502
501	1510	1498
502	1512	1494
503	1514	1490
504	1517	1487
505	1521	1485
506	1523	1481
507	1526	1477
508	1528	1474
509	1530	1470
510	1533	1467
511	1536	1464
512	1539	1461
513	1542	1458
514	1545	1455
515	1548	1452
516	1550	1448
517	1552	1444
518	1554	1440
519	1557	1437
520	1559	1434
521	1561	1430
522	1564	1426
523	1566	1422
524	1569	1419
525	1571	1416
526	1573	1412
527	1576	1409
528	1578	1405
529	1581	1402
530	1584	1399
531	1586	1395
532	1589	1392
533	1592	1389
534	1595	1386
535	1597	1383
536	1600	1380
537	1604	1377
538	1606	1373
539	1609	1371
540	1612	1367
541	1614	1364
542	1616	1360
543	1619	1357
544	1622	1354
545	1624	1350
546	1626	1347
547	1628	1343
548	1631	1340
549	1633	1336
550	1636	1333
551	1638	1329
552	1640	1326
553	1642	1322
554	1645	1319
555	1648	1316
556	1650	1313
557	1653	1309
558	1655	1306
559	1659	1303
560	1661	1300
561	1664	1297
562	1666	1293
563	1668	1290
564	1671	1286
565	1674	1283
566	1676	1280
567	1678	1276
568	1681	1273
569	1683	1269
570	1686	1266
571	1689	1263
572	1691	1260
573	1693	1257
574	1696	1253
575	1698	1250
576	1701	1247
577	1703	1243
578	1705	1240
579	1708	1237
580	1710	1233
581	1713	1230
582	1715	1227
583	1717	1223
584	1720	1220
585	1722	1217
586	1725	1213
587	1727	1210
588	1729	1207
589	1732	1203
590	1734	1200
591	1737	1197
592	1740	1194
593	1742	1191
594	1745	1187
595	1748	1185
596	1751	1182
597	1753	1178
598	1755	1175
599	1757	1171
600	1760	1168
601	1763	1165
602	1765	1162
603	1767	1159
604	1770	1156
605	1773	1152
606	1775	1149
607	1778	1146
608	1780	1142
609	1782	1139
610	1784	1136
611	1787	1133
612	1790	1130
613	1792	1127
614	1795	1123
615	1797	1120
616	1800	1117
617	1802	1114
618	1804	1110
619	1806	1107
620	1809	1104
621	1812	1101
622	1815	1098
623	1819	1096
624	1822	1093
625	1825	1090
626	1828	1087
627	1830	1084
628	1833	1081
629	1836	1078
630	1839	1075
631	1842	1072
632	1845	1069
633	1848	1067
634	1851	1064
635	1854	1061
636	1857	1058
637	1859	1055
638	1862	1052
639	1865	1049
640	1868	1046
641	1871	1043
642	1873	1040
643	1877	1037
644	1879	1034
645	1881	1031
646	1884	1028
647	1886	1025
648	1889	1021
649	1892	1018
650	1894	1015
651	1897	1012
652	1900	1010
653	1903	1007
654	1906	1003
655	1908	1000
656	1910	997
657	1913	994
658	1915	991
659	1918	988
660	1920	985
661	1923	982
662	1925	978
663	1928	975
664	1930	972
665	1933	969
666	1936	967
667	1939	963
668	1941	960
669	1944	957
670	1946	954
671	1949	951
672	1951	948
673	1954	945
674	1956	941
675	1958	938
676	1961	935
677	1963	932
678	1966	929
679	1969	926
680	1972	924
681	1976	921
682	1979	918
683	1982	915
684	1985	913
685	1988	910
686	1991	907
687	1993	903
688	1995	900
689	1998	897
690	2000	894
691	2003	891
692	2006	888
693	2008	885
694	2011	882
695	2014	879
696	2016	876
697	2019	873
698	2021	870
699	2024	867
700	2027	864
701	2029	861
702	2032	858
703	2034	855
704	2037	852
705	2039	849
706	2041	846
707	2044	843
708	2046	840
709	2049	837
710	2052	834
711	2054	831
712	2057	828
713	2059	825
714	2062	822
715	2065	819
716	2067	816
717	2070	813
718	2072	810
719	2074	806
720	2078	804
721	2080	801
722	2082	797
723	2085	795
724	2088	792
725	2091	789
726	2093	786
727	2096	783
728	2099	780
729	2102	777
730	2105	774
731	2107	771
732	2109	768
733	2112	765
734	2115	762
735	2117	759
736	2119	756
737	2121	753
738	2124	750
739	2127	747
740	2130	744
741	2132	741
742	2135	738
743	2137	735
744	2140	732
745	2144	730
746	2146	726
747	2148	723
748	2152	721
749	2154	718
750	2157	715
751	2159	712
752	2162	709
753	2165	706
754	2168	703
755	2170	700
756	2173	697
757	2176	694
758	2178	691
759	2181	688
760	2183	685
761	2185	682
762	2189	679
763	2191	677
764	2194	674
765	2197	671
766	2199	668
767	2202	665
768	2205	662
769	2208	659
770	2211	656
771	2214	653
772	2217	651
773	2219	648
774	2222	645
775	2225	642
776	2227	639
777	2230	636
778	2233	633
779	2235	630
780	2238	627
781	2241	624
782	2245	622
783	2247	619
784	2251	616
785	2255	614
786	2259	611
787	2261	608
788	2264	605
789	2267	602
790	2270	599
791	2272	596
792	2275	593
793	2278	591
794	2282	588
795	2284	585
796	2287	582
797	2290	579
798	2293	577
799	2296	574
800	2298	571
801	2301	568
802	2304	565
803	2306	562
804	2308	559
805	2311	556
806	2313	553
807	2315	550
808	2318	547
809	2320	544
810	2322	541
811	2325	538
812	2327	535
813	2330	532
814	2334	529
815	2336	526
816	2339	524
817	2341	520
818	2344	518
819	2347	515
820	2350	512
821	2352	509
822	2355	506
823	2357	503
824	2359	500
825	2362	497
826	2364	494
827	2367	491
828	2369	488
829	2372	485
830	2374	482
831	2377	480
832	2379	477
833	2382	474
834	2384	471
835	2387	468
836	2389	465
837	2392	462
838	2394	459
839	2396	456
840	2398	453
841	2402	450
842	2404	447
843	2407	444
844	2409	442
845	2412	439
846	2415	436
847	2417	433
848	2420	430
849	2423	427
850	2425	424
851	2429	421
852	2431	418
853	2433	416
854	2436	413
855	2439	410
856	2441	407
857	2444	404
858	2447	401
859	2450	398
860	2453	396
861	2456	393
862	2458	390
863	2461	387
864	2463	384
865	2466	381
866	2469	378
867	2472	375
868	2474	373
869	2477	370
870	2480	367
871	2482	364
872	2484	361
873	2487	358
874	2489	355
875	2492	352
876	2494	349
877	2497	347
878	2500	344
879	2503	341
880	2506	338
881	2509	335
882	2511	332
883	2514	329
884	2516	327
885	2519	324
886	2521	321
887	2523	318
888	2526	315
889	2528	312
890	2530	309
891	2532	306
892	2534	303
893	2536	300
894	2538	297
895	2541	294
896	2543	292
897	2545	289
898	2547	286
899	2549	283
900	2556	280
901	2558	278
902	2561	275
903	2573	273
904	2577	270
905	2581	267
906	2585	265
907	2590	262
908	2595	259
909	2598	257
910	2603	254
911	2607	251
912	2610	248
913	2613	245
914	2617	243
915	2621	240
916	2626	237
917	2630	234
918	2634	232
919	2638	229
920	2641	226
921	2644	223
922	2648	220
923	2651	218
924	2654	215
925	2657	212
926	2660	209
927	2663	206
928	2666	203
929	2668	200
930	2671	197
931	2674	195
932	2678	192
933	2681	189
934	2682	186
935	2685	183
936	2688	180
937	2690	177
938	2693	174
939	2696	172
940	2700	169
941	2703	166
942	2706	163
943	2709	160
944	2712	157
945	2715	154
946	2718	152
947	2721	149
948	2724	146
949	2727	143
950	2730	140
951	2733	137
952	2735	134
953	2738	132
954	2741	129
955	2743	126
956	2746	123
957	2749	120
958	2751	117
959	2753	114
960	2756	111
961	2759	108
962	2761	106
963	2763	103
964	2765	100
965	2768	97
966	2770	94
967	2772	91
968	2775	88
969	2777	85
970	2779	83
971	2782	80
972	2784	77
973	2786	74
974	2788	71
975	2791	68
976	2793	65
977	2795	62
978	2798	60
979	2800	57
980	2802	54
981	2805	51
982	2808	48
983	2811	45
984	2813	42
985	2815	39
986	2818	37
987	2821	34
988	2824	31
989	2827	28
990	2829	25
991	2831	22
992	2834	19
993	2836	17
994	2838	14
995	2841	11
996	2843	8
997	2845	5
998	2847	2
999	2849	0
